word=prancha de madeira	pleasantness=-0.033	attention=0	sensitivity=0.075	aptitude=0	polarity=-0.036
word=beligerância	pleasantness=0	attention=0.139	sensitivity=0.736	aptitude=-0.668	polarity=-0.422
word=dançar ao redor	pleasantness=0.02	attention=0.071	sensitivity=0	aptitude=0.069	polarity=0.053
word=rir de si mesmo	pleasantness=0.849	attention=0.933	sensitivity=0	aptitude=-0.969	polarity=0.271
word=limpar o nariz	pleasantness=-0.151	attention=0.074	sensitivity=-0.159	aptitude=-0.094	polarity=-0.11
word=amarelo	pleasantness=0	attention=0.19	sensitivity=-0.097	aptitude=0.175	polarity=0.089
word=narcótico	pleasantness=0.08	attention=-0.009	sensitivity=0	aptitude=-0.157	polarity=-0.023
word=cão esperto	pleasantness=0.039	attention=0	sensitivity=0	aptitude=0.059	polarity=0.033
word=lutar contra	pleasantness=-0.072	attention=0.103	sensitivity=-0.086	aptitude=-0.113	polarity=-0.056
word=obter informações	pleasantness=0.941	attention=0.748	sensitivity=0	aptitude=0.56	polarity=0.75
word=Testem a coragem	pleasantness=0.074	attention=-0.1	sensitivity=0.062	aptitude=-0.234	polarity=-0.041
word=ornamentado	pleasantness=0.162	attention=-0.206	sensitivity=0	aptitude=0.232	polarity=0.2
word=encontrar ajuda	pleasantness=-0.088	attention=0.258	sensitivity=-0.231	aptitude=0.158	polarity=0.032
word=Quero entreter	pleasantness=0.705	attention=0	sensitivity=0	aptitude=0.758	polarity=0.488
word=agressão	pleasantness=-0.062	attention=0.128	sensitivity=0.707	aptitude=-0.677	polarity=-0.439
word=pagamento	pleasantness=-0.045	attention=0.208	sensitivity=-0.117	aptitude=0.204	polarity=0.083
word=me sinto diferente	pleasantness=0.378	attention=0	sensitivity=-0.064	aptitude=-0.063	polarity=0.084
word=autopiedade	pleasantness=-0.879	attention=0.182	sensitivity=-0.592	aptitude=0	polarity=-0.43
word=viver a vida muito feliz	pleasantness=0.849	attention=0.79	sensitivity=0	aptitude=0.793	polarity=0.811
word=Sinta-se à moda	pleasantness=0.034	attention=0	sensitivity=0	aptitude=0.085	polarity=0.04
word=eletricidade	pleasantness=0.057	attention=0.088	sensitivity=-0.225	aptitude=0.148	polarity=0.023
word=semelhança	pleasantness=0.262	attention=0.325	sensitivity=-0.285	aptitude=0.387	polarity=0.23
word=Neemias Silva	pleasantness=0	attention=0	sensitivity=-0.871	aptitude=0	polarity=-0.29
word=brinquedo do cão	pleasantness=0	attention=0	sensitivity=0	aptitude=0.072	polarity=0.024
word=imposto inferior	pleasantness=0.825	attention=0	sensitivity=0	aptitude=0.703	polarity=0.509
word=Ver do lado de fora	pleasantness=-0.028	attention=0	sensitivity=0	aptitude=0.128	polarity=0.033
word=sentir-se apto	pleasantness=0.076	attention=0	sensitivity=0	aptitude=0	polarity=0.025
word=imaturo	pleasantness=0.143	attention=0	sensitivity=0.268	aptitude=-0.128	polarity=-0.084
word=vem com garantia	pleasantness=-0.134	attention=0	sensitivity=0	aptitude=-0.035	polarity=-0.056
word=afundar-se	pleasantness=-0.434	attention=0.421	sensitivity=-0.168	aptitude=-0.189	polarity=-0.123
word=dígito	pleasantness=0	attention=0	sensitivity=0.102	aptitude=0	polarity=-0.034
word=hormônio	pleasantness=0.102	attention=0.144	sensitivity=-0.119	aptitude=0.081	polarity=0.069
